race_id,race_year,round_number,event_name,scheduled_laps,total_laps_final,max_current_lap,source,note
2024_19,2024,19,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2024_20,2024,20,Mexico City Grand Prix,71,71,71,f1_livetiming_lapcount,
2024_21,2024,21,São Paulo Grand Prix,71,69,69,f1_livetiming_lapcount,race control changed the distance 71 -> 69; scheduled_laps keeps the pre-race value
2024_22,2024,22,Las Vegas Grand Prix,50,50,50,f1_livetiming_lapcount,
2024_23,2024,23,Qatar Grand Prix,57,57,57,f1_livetiming_lapcount,
2024_24,2024,24,Abu Dhabi Grand Prix,58,58,58,f1_livetiming_lapcount,
2025_1,2025,1,Australian Grand Prix,58,57,57,f1_livetiming_lapcount,race control changed the distance 58 -> 57; scheduled_laps keeps the pre-race value
2025_2,2025,2,Chinese Grand Prix,56,56,56,f1_livetiming_lapcount,
2025_3,2025,3,Japanese Grand Prix,53,53,53,f1_livetiming_lapcount,
2025_4,2025,4,Bahrain Grand Prix,57,57,57,f1_livetiming_lapcount,
2025_5,2025,5,Saudi Arabian Grand Prix,50,50,50,f1_livetiming_lapcount,
2025_6,2025,6,Miami Grand Prix,57,57,57,f1_livetiming_lapcount,
2025_7,2025,7,Emilia Romagna Grand Prix,63,63,63,f1_livetiming_lapcount,
2025_8,2025,8,Monaco Grand Prix,78,78,78,f1_livetiming_lapcount,
2025_9,2025,9,Spanish Grand Prix,66,66,66,f1_livetiming_lapcount,
2025_10,2025,10,Canadian Grand Prix,70,70,70,f1_livetiming_lapcount,
2025_11,2025,11,Austrian Grand Prix,71,70,70,f1_livetiming_lapcount,race control changed the distance 71 -> 70; scheduled_laps keeps the pre-race value
2025_12,2025,12,British Grand Prix,52,52,52,f1_livetiming_lapcount,
2025_13,2025,13,Belgian Grand Prix,44,44,44,f1_livetiming_lapcount,
2025_14,2025,14,Hungarian Grand Prix,70,70,70,f1_livetiming_lapcount,
2025_15,2025,15,Dutch Grand Prix,72,72,72,f1_livetiming_lapcount,
2025_16,2025,16,Italian Grand Prix,53,53,53,f1_livetiming_lapcount,
2025_17,2025,17,Azerbaijan Grand Prix,51,51,51,f1_livetiming_lapcount,
2025_18,2025,18,Singapore Grand Prix,62,62,62,f1_livetiming_lapcount,
2025_19,2025,19,United States Grand Prix,56,56,56,f1_livetiming_lapcount,
2025_20,2025,20,Mexico City Grand Prix,71,71,71,f1_livetiming_lapcount,
2025_21,2025,21,São Paulo Grand Prix,71,71,71,f1_livetiming_lapcount,
2025_22,2025,22,Las Vegas Grand Prix,50,50,50,f1_livetiming_lapcount,
2025_23,2025,23,Qatar Grand Prix,57,57,57,f1_livetiming_lapcount,
2025_24,2025,24,Abu Dhabi Grand Prix,58,58,58,f1_livetiming_lapcount,
