scheme,circuit_key,n,races,coverage,below_lo,above_hi,mean_width
pooled_asym,british_grand_prix,842,2,0.6888361045130641,0.19833729216152018,0.11282660332541568,8.42104721069336
pooled_asym,canadian_grand_prix,1210,2,0.9090909090909091,0.06694214876033058,0.023966942148760332,9.96387004852295
pooled_asym,chinese_grand_prix,386,1,0.961139896373057,0.012953367875647668,0.025906735751295335,9.224474906921387
pooled_asym,dutch_grand_prix,1467,2,0.8241308793456033,0.0627130197682345,0.11315610088616224,8.49910831451416
pooled_asym,emilia_romagna_grand_prix,788,1,0.8489847715736041,0.048223350253807105,0.10279187817258884,6.998852252960205
pooled_asym,hungarian_grand_prix,1563,2,0.872040946896993,0.05438259756877799,0.07357645553422905,7.553857326507568
pooled_asym,italian_grand_prix,1079,2,0.8934198331788693,0.051899907321594066,0.05468025949953661,6.99457311630249
pooled_asym,japanese_grand_prix,733,2,0.8649386084583902,0.09686221009549795,0.03819918144611187,10.204007148742676
pooled_asym,las_vegas_grand_prix,798,2,0.8020050125313283,0.08646616541353383,0.11152882205513784,8.618675231933594
pooled_asym,mexico_city_grand_prix,1544,2,0.8847150259067358,0.04404145077720207,0.07124352331606218,7.479490756988525
pooled_asym,miami_grand_prix,1282,2,0.8190327613104524,0.078003120124805,0.1029641185647426,5.985442638397217
pooled_asym,monaco_grand_prix,1960,2,0.7051020408163265,0.2173469387755102,0.07755102040816327,11.004941940307617
pooled_asym,qatar_grand_prix,786,2,0.8486005089058524,0.09287531806615776,0.058524173027989825,6.614538192749023
pooled_asym,saudi_arabian_grand_prix,1013,2,0.7838104639684107,0.14313919052319843,0.07305034550839092,7.316897392272949
pooled_asym,singapore_grand_prix,1346,2,0.8246656760772659,0.08766716196136701,0.08766716196136701,7.27466344833374
pooled_asym,spanish_grand_prix,1456,2,0.875,0.06799450549450549,0.057005494505494504,8.586187362670898
pooled_asym,são_paulo_grand_prix,903,2,0.8527131782945736,0.10741971207087486,0.03986710963455149,8.881983757019043
pooled_asym,united_states_grand_prix,974,2,0.864476386036961,0.08624229979466119,0.049281314168377825,6.081087112426758
mondrian_sym,abu_dhabi_grand_prix,1108,2,0.8637184115523465,0.08483754512635379,0.05144404332129964,6.314344047440143
mondrian_sym,australian_grand_prix,925,2,0.7589189189189189,0.17081081081081081,0.07027027027027027,5.979011941737899
mondrian_sym,austrian_grand_prix,1306,2,0.7970903522205207,0.09341500765696784,0.10949464012251149,6.082906063937857
mondrian_sym,azerbaijan_grand_prix,1176,2,0.7882653061224489,0.15136054421768708,0.06037414965986394,6.3550704430602964
mondrian_sym,bahrain_grand_prix,922,2,0.8383947939262473,0.08568329718004339,0.07592190889370933,6.266058626943591
mondrian_sym,belgian_grand_prix,657,2,0.91324200913242,0.0487062404870624,0.0380517503805175,12.615034998984896
mondrian_sym,british_grand_prix,842,2,0.6211401425178147,0.2375296912114014,0.14133016627078385,7.506084065225947
mondrian_sym,canadian_grand_prix,1210,2,0.9016528925619834,0.0743801652892562,0.023966942148760332,9.793977521065186
mondrian_sym,chinese_grand_prix,386,1,0.9585492227979274,0.015544041450777202,0.025906735751295335,9.219848863367568
mondrian_sym,dutch_grand_prix,1467,2,0.8486707566462167,0.05385139740967962,0.09747784594410361,8.916133351162028
